name;nationality;position;overall;age;real_team;device
Guillaume Hoarau;France;ST;76;36;BSC Young Boys;2
Alfredo Talavera;Mexico;GK;72;37;Deportivo Toluca;2
Philipp Pentke;Germany;GK;73;35;TSG 1899 Hoffenheim;2
Thomas Gebauer;Austria;GK;64;38;LASK Linz;2
Richard Wood;England;CB;66;35;Rotherham United;2
Yuki Abe;Japan;CB|CDM|CM;66;38;Urawa Red Diamonds;2
Cristian Lucchetti;Argentina;GK;72;42;Atlético Tucumán;2
Iván Vázquez;Mexico;GK;68;37;Fútbol Club Juárez;2
Héctor Herrera;Mexico;CM;82;30;Atlético Madrid;2
Franck Ribéry;France;LM|CF|LW;82;37;Fiorentina;2
Andrew Considine;Scotland;LB|CB;69;33;Aberdeen;2
Samuel Holmén;Sweden;CM;68;36;IF Elfsborg;2
Tobias Eriksson;Sweden;RM;63;35;GIF Sundsvall;2
Andreas Granqvist;Sweden;CB;74;35;Helsingborgs IF;2
Darren Pratley;England;CDM|CM;66;35;Charlton Athletic;2
Melitón Hernández;Mexico;GK;64;37;Tiburones Rojos de Veracruz;2
Neri Cardozo;Argentina;CM|CAM;74;33;Defensa y Justicia;2
Ryan Babel;Netherlands;ST|RW|LW;78;33;Ajax;2
Thomas Vermaelen;Belgium;CB;77;34;Vissel Kobe;2
Rasmus Lindgren;Sweden;CB;69;35;BK Häcken;2
Sylvain Marveaux;France;CAM|RW;69;34;FC Lorient;2
Brendan Clarke;Republic of Ireland;GK;63;34;St. Patrick's Athletic;2
Pedro López;Spain;RB;70;36;SD Huesca;2
Raúl Albiol;Spain;CB;83;34;Villarreal CF;2
Jorge Valdivia;Chile;CAM;74;36;Monarcas Morelia;2
Efraín Velarde;Mexico;LB;68;34;Monarcas Morelia;2
Moritz Stoppelkamp;Germany;RM|LM|CAM;70;33;MSV Duisburg;2
Scott Dann;England;CB;74;33;Crystal Palace;2
Laurent Ciman;Belgium;CB;70;34;Toronto FC;2
Uwe Hünemeier;Germany;CB;68;34;SC Paderborn 07;2
Besart Berisha;Kosovo;ST;68;35;Western United FC;2
Anssi Jaakkola;Finland;GK;67;33;Bristol Rovers;2
Scott Carson;England;GK;71;34;Manchester City;2
Quentin Westberg;United States;GK;69;34;Toronto FC;2
Ricardo Batista;Portugal;GK;63;33;Clubul Sportiv Gaz Metan Media?;2
Lionel Messi;Argentina;ST|CF|RW;94;33;FC Barcelona;2
Pablo Álvarez;Argentina;RB|LB;66;36;Arsenal de Sarandí;2
Benoît Costil;France;GK;79;33;FC Girondins de Bordeaux;2
Jefferson Farfán;Peru;ST|RM;77;35;Lokomotiv Moscow;2
Aaron Hunt;Germany;CM|CAM;75;33;Hamburger SV;2
Salva Sevilla;Spain;CDM|CM;75;36;RCD Mallorca;2
Mario Sonnleitner;Austria;CB;69;33;SK Rapid Wien;2
Juanma;Spain;CB;72;37;CF Fuenlabrada;2
Salomon Kalou;Ivory Coast;ST|RM|LM;76;34;Hertha BSC;2
Zheng Zhi;China PR;CDM|CM;68;39;Guangzhou Evergrande Taobao FC;2
Liu Jian;China PR;CB;61;35;Beijing Renhe FC;2
Felice Evacuo;Italy;ST;66;37;Trapani;2
Ibrahim Afellay;Netherlands;CM|CAM;74;34;PSV;2
Nana Asare;Ghana;LB;72;34;KAA Gent;2
Ken Reichel;Germany;LB;70;33;1. FC Union Berlin;2
Fabrizio Melara;Italy;RM|CAM;63;34;Castellammare di Stabia;2
Oribe Peralta;Mexico;ST;71;36;Guadalajara;2
Dante;Brazil;CB;78;36;OGC Nice;2
Mathieu Debuchy;France;RWB|RB|CB|RW;78;35;AS Saint-Étienne;2
David Edwards;Wales;CDM|CM;65;34;Shrewsbury;2
Philipp Tschauner;Germany;GK;72;34;RB Leipzig;2
