name;nationality;position;overall;age;real_team;device
Cristian Lucchetti;Argentina;GK;72;42;Atlético Tucumán;Playstation
Iván Vázquez;Mexico;GK;68;37;Fútbol Club Juárez;Playstation
Héctor Herrera;Mexico;CM;82;30;Atlético Madrid;Playstation
Franck Ribéry;France;LM|CF|LW;82;37;Fiorentina;Playstation
Andrew Considine;Scotland;LB|CB;69;33;Aberdeen;Playstation
Samuel Holmén;Sweden;CM;68;36;IF Elfsborg;Playstation
Tobias Eriksson;Sweden;RM;63;35;GIF Sundsvall;Playstation
Andreas Granqvist;Sweden;CB;74;35;Helsingborgs IF;Playstation
Darren Pratley;England;CDM|CM;66;35;Charlton Athletic;Playstation
Melitón Hernández;Mexico;GK;64;37;Tiburones Rojos de Veracruz;Playstation
Neri Cardozo;Argentina;CM|CAM;74;33;Defensa y Justicia;Playstation
Ryan Babel;Netherlands;ST|RW|LW;78;33;Ajax;Playstation
Thomas Vermaelen;Belgium;CB;77;34;Vissel Kobe;Playstation
Rasmus Lindgren;Sweden;CB;69;35;BK Häcken;Playstation
