name;nationality;position;overall;age;real_team;device
Víctor Figueroa;Argentina;LM|CAM;62;36;Sociedad Deportiva Aucas;PC
Lucas Licht;Argentina;LB|LWB|LM|LW;69;39;Gimnasia y Esgrima La Plata;PC
Sergio Agüero;Argentina;ST;90;32;Manchester City;PC
Mauro Zárate;Argentina;ST|CAM|CF;77;33;Boca Juniors;PC
Hernán Pellerano;Argentina;CB;65;36;FBC Melgar;PC
André-Pierre Gignac;France;ST|CF;81;34;Tigres U.A.N.L.;PC
Hilton;Brazil;CB;79;42;Montpellier Hérault SC;PC
Jean-Louis Leca;France;GK;73;34;Racing Club de Lens;PC
Àngel Rangel;Spain;RB;68;37;Queens Park Rangers;PC
Jorge Molina;Spain;ST;80;38;Getafe CF;PC
Cezary Stefanczyk;Poland;RB;62;36;Wisla Plock;PC
Mihai Roman;Romania;RB|RM;66;35;Fotbal Club Boto?ani;PC
Yuriy Zhirkov;Russia;LB|LM;76;36;Free Agents;PC
Craig Mackail-Smith;Scotland;ST|RM|RW;62;36;Stevenage;PC
Amin Askar;Ethiopia;ST|RB|LM;64;34;Kristiansund BK;PC
Jakub Szmatula;Poland;GK;64;39;Piast Gliwice;PC
Richard Stearman;England;CB;69;32;Huddersfield Town;PC
Leon Clarke;England;ST;69;35;Sheffield United;PC
Peter Nymann;Denmark;RB;65;37;AC Horsens;PC
Piotr Celeban;Poland;RB|CB;67;35;Slask Wroclaw;PC
Martin Ørnskov;Denmark;CDM|CM;64;34;Lyngby BK;PC
Sergio Ramos;Spain;CB;89;34;Real Madrid;PC
Bartosz Bialkowski;Poland;GK;72;33;Millwall;PC
Aiden McGeady;Republic of Ireland;LM;72;34;Charlton Athletic;PC
Stephen Henderson;Republic of Ireland;GK;65;32;Crystal Palace;PC
Michael Bradley;United States;CDM|CM;75;32;Toronto FC;PC
Casto;Spain;GK;66;38;Extremadura UD;PC
Robert Snodgrass;Scotland;RM|CM;77;32;West Ham United;PC
Scott McDonald;Australia;ST|RW;66;36;Brisbane Roar;PC
Charlie Adam;Scotland;CDM|CM;67;34;Reading;PC
Gary MacKenzie;Scotland;CB;63;34;St. Mirren;PC
David Bicík;Czech Republic;GK;65;39;Sparta Praha;PC
Tomáš Cerny;Czech Republic;GK;65;35;Aberdeen;PC
Martin Cranie;England;RB|CB;68;33;Luton Town;PC
Matthew Mills;England;CB;65;34;Forest Green Rovers;PC
Cristian Sapunaru;Romania;CB|CDM;70;36;Kayserispor;PC
Joe Lewis;England;GK;73;32;Aberdeen;PC
Jakub Rzezniczak;Poland;RB|CB;67;33;Wisla Plock;PC
Adam El-Abd;Egypt;CB;64;35;Stevenage;PC
Adebayo Akinfenwa;England;ST;65;38;Wycombe Wanderers;PC
Paul Quasten;Czech Republic;LB;62;35;RKC Waalwijk;PC
José de Jesús Corona;Mexico;GK;75;39;Cruz Azul;PC
Guillaume Hoarau;France;ST;76;36;BSC Young Boys;PC
Alfredo Talavera;Mexico;GK;72;37;Deportivo Toluca;PC
Philipp Pentke;Germany;GK;73;35;TSG 1899 Hoffenheim;PC
Thomas Gebauer;Austria;GK;64;38;LASK Linz;PC
Richard Wood;England;CB;66;35;Rotherham United;PC
Yuki Abe;Japan;CB|CDM|CM;66;38;Urawa Red Diamonds;PC
Cristian Lucchetti;Argentina;GK;72;42;Atlético Tucumán;PC
Iván Vázquez;Mexico;GK;68;37;Fútbol Club Juárez;PC
Héctor Herrera;Mexico;CM;82;30;Atlético Madrid;PC
Franck Ribéry;France;LM|CF|LW;82;37;Fiorentina;PC
Andrew Considine;Scotland;LB|CB;69;33;Aberdeen;PC
Samuel Holmén;Sweden;CM;68;36;IF Elfsborg;PC
Tobias Eriksson;Sweden;RM;63;35;GIF Sundsvall;PC
Andreas Granqvist;Sweden;CB;74;35;Helsingborgs IF;PC
Darren Pratley;England;CDM|CM;66;35;Charlton Athletic;PC
Melitón Hernández;Mexico;GK;64;37;Tiburones Rojos de Veracruz;PC
Neri Cardozo;Argentina;CM|CAM;74;33;Defensa y Justicia;PC
Ryan Babel;Netherlands;ST|RW|LW;78;33;Ajax;PC
Thomas Vermaelen;Belgium;CB;77;34;Vissel Kobe;PC
Rasmus Lindgren;Sweden;CB;69;35;BK Häcken;PC
Sylvain Marveaux;France;CAM|RW;69;34;FC Lorient;PC
Brendan Clarke;Republic of Ireland;GK;63;34;St. Patrick's Athletic;PC
Pedro López;Spain;RB;70;36;SD Huesca;PC
Raúl Albiol;Spain;CB;83;34;Villarreal CF;PC
Jorge Valdivia;Chile;CAM;74;36;Monarcas Morelia;PC
Efraín Velarde;Mexico;LB;68;34;Monarcas Morelia;PC
Moritz Stoppelkamp;Germany;RM|LM|CAM;70;33;MSV Duisburg;PC
Scott Dann;England;CB;74;33;Crystal Palace;PC
Laurent Ciman;Belgium;CB;70;34;Toronto FC;PC
Uwe Hünemeier;Germany;CB;68;34;SC Paderborn 07;PC
Besart Berisha;Kosovo;ST;68;35;Western United FC;PC
Anssi Jaakkola;Finland;GK;67;33;Bristol Rovers;PC
Scott Carson;England;GK;71;34;Manchester City;PC
Quentin Westberg;United States;GK;69;34;Toronto FC;PC
Ricardo Batista;Portugal;GK;63;33;Clubul Sportiv Gaz Metan Media?;PC
Lionel Messi;Argentina;ST|CF|RW;94;33;FC Barcelona;PC
Pablo Álvarez;Argentina;RB|LB;66;36;Arsenal de Sarandí;PC
Benoît Costil;France;GK;79;33;FC Girondins de Bordeaux;PC
Jefferson Farfán;Peru;ST|RM;77;35;Lokomotiv Moscow;PC
Aaron Hunt;Germany;CM|CAM;75;33;Hamburger SV;PC
Salva Sevilla;Spain;CDM|CM;75;36;RCD Mallorca;PC
Mario Sonnleitner;Austria;CB;69;33;SK Rapid Wien;PC
Juanma;Spain;CB;72;37;CF Fuenlabrada;PC
