name;nationality;position;overall;age;real_team;device
Paul McShane;Republic of Ireland;CB;66;34;Rochdale;3
Jesper Hansen;Denmark;GK;75;35;FC Midtjylland;3
Emil Hallfre?sson;Iceland;CDM|CM;71;36;Free Agents;3
Atiba Hutchinson;Canada;CDM|CM;76;37;Besiktas JK;3
Jimmy Briand;France;ST;75;34;FC Girondins de Bordeaux;3
Scott Brown;Scotland;CDM;75;35;Celtic;3
Kirk Broadfoot;Scotland;CB;65;35;Kilmarnock;3
Anders Lindegaard;Denmark;GK;67;36;Helsingborgs IF;3
Michael Liendl;Austria;CM|CAM;74;34;Wolfsberger AC;3
Gomes;Brazil;GK;75;39;Watford;3
Fernandinho;Brazil;CB|CDM;85;35;Manchester City;3
